Tỉnh,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Hà Nội,57,55.8,55,59.6,58.5,56.6,58,58.3,56.3,55.4,57.1,56.5,58.8,60.7
Vĩnh Phúc,52.1,53.5,53,56.7,50.5,52.3,56.5,55.9,50.4,55.3,58.4,57.9,58.1,59.8
Bắc Ninh,57.8,59.5,59.2,63.5,62.5,58.5,60.4,61.9,62,60,61.8,61.4,63.7,64.9
Quảng Ninh,44.8,45.2,46.7,48.4,49.7,48.9,49,49.9,50.1,47.1,50.8,50.6,51.6,51.9
Hải Dương,59.7,60.9,59.4,61.7,61.9,58.8,59.4,60.3,60.4,55.7,60.4,59.4,60.6,62.9
Hải Phòng,57.3,59.3,60,60.9,61.9,62.7,62.9,63.1,62.9,60.4,63.6,63.7,64.2,64.2
Hưng Yên,63,62.7,62.8,64.5,64.6,62.2,62.1,62,61.7,59.5,62.6,64,62.8,63.2
Thái Bình,65.7,66.2,66.4,65.9,65.1,65.1,65.6,66,65.8,59.4,65.5,65.9,65.9,65.1
Hà Nam,59.7,59.5,59.4,60.8,61.5,57.9,59.6,60.7,60.3,56.8,61.1,61.9,62.2,62.3
Nam Định,59.3,56.1,59.9,58.8,59.4,58.9,60.5,60.6,60.4,55.7,59.8,60.4,60.7,60.7
Ninh Bình,58.2,59.5,59.9,60.4,60.4,57,60.2,59.9,59.5,56.2,60.5,61.2,61.6,61.9
Hà Giang,45.7,50.1,53.2,54.1,54.3,55.3,55.6,55.3,56.1,56.4,56.7,56.9,57.5,57.8
Cao Bằng,39.9,39.1,41.2,38.9,40.1,41.3,41.7,42.5,43.2,43.7,43.7,45,45.3,45.7
Bắc Kạn,44.2,44.1,43,44.1,46.8,46.7,46.7,47.7,48.6,46.8,48.8,50.2,51.6,51.3
Tuyên Quang,56.8,57.3,57.7,58.4,58.2,58.1,58.2,58.4,58.6,58.3,58.6,58.7,58.7,59.2
Lào Cai,41.8,44.1,42.6,46.6,47.2,48.2,48.2,48.9,50.1,49.2,51.5,52.6,53.3,54
Yên Bái,43,45.2,45.4,47.3,48.9,49,49.5,50.3,50,49.8,49.9,50.4,50.7,51.2
Thái Nguyên,48.3,48.5,48.7,51.7,50.6,50.3,50.5,52.7,53.4,53.4,54.7,54.9,54.9,55.9
Lạng Sơn,39,38.9,40,34.3,40.3,41,42,42.3,43.6,41.6,42,42.1,43,43
Bắc Giang,47.2,51.3,53.3,55.8,56.1,52.7,55.5,55.5,57.4,57,57.6,57.7,57.8,58.2
Phú Thọ,48.9,50.9,51.2,54,54.3,54.4,54,53.4,55.1,54.8,56.9,55.9,56.7,58.5
Điện Biên,32,32.7,33.4,32.6,32.7,33,34.5,35.4,35,35.5,36.1,36.2,36.4,37.2
Lai Châu,34.2,37.1,38.5,40.5,41.5,41.7,42,43,43.4,44.3,44.8,45.5,45.5,47.1
Sơn La,32.6,33.3,33,35.3,33.8,32,33.8,34,35.4,35.3,36.4,37.2,38.6,40.3
Hoà Bình,50,47.4,48.4,51.7,52.5,50,53.2,49.8,54.1,45.8,53.4,53.2,54.9,56
Thanh Hoá,55.2,56.3,55.1,55.5,57.8,55.9,58.6,57.4,58.8,58.4,57.8,58.8,59.4,60.9
Nghệ An,51,48.7,45.2,51.6,52.1,50.5,53.9,52.5,54.2,53.8,54.1,52.1,54,58.2
Hà Tĩnh,46.4,46.5,41.8,47.5,48.6,48.5,50.6,51.3,51.3,42.5,52.1,48.9,51.5,55.3
Quảng Bình,47.8,47.9,45,49.3,49.1,47.1,51.2,50.9,51.2,51.4,52.4,50,51.4,54.5
Quảng Trị,46.3,44.3,44.3,46.3,49.1,44.7,51.5,50.2,52.8,48.4,54.3,54.1,54.5,55.6
Thừa Thiên Huế,54,53.2,53.1,55.9,55.6,53.1,59.1,58.7,59.5,59.6,61.1,59.6,59,63.5
Đà Nẵng,53.3,53.8,56.3,52.9,59.8,58,61.6,58.5,59.6,60.4,61.3,60.4,63.3,67.2
Quảng Nam,44.3,45.5,48.4,47.7,50.5,50.1,53.4,52.1,50.9,53.1,53.7,53.3,54.1,55.9
Quảng Ngãi,48,51,53.8,52.5,55.3,55.1,57.2,56.5,54.9,58.1,58.9,58.8,58.8,60.4
Bình Định,53.8,53,56,57.8,58.6,59.2,61.1,62.2,62.3,63.4,64.3,64.3,65.5,66.4
Phú Yên,52,57.6,61.4,60,60.6,62.9,64,66.1,65.4,65.8,69.3,67.3,71.2,70.8
Khánh Hoà,47.1,49.7,52.3,53.4,52.3,55.4,57.3,58.4,56.9,53.6,56,56.9,57.5,60.2
Ninh Thuận,52.8,54.5,49.7,57.5,57.1,56.7,62.5,60.2,51.2,57.1,56.7,59.2,61.6,62.2
Bình Thuận,46.5,48.9,50,54.1,54.8,55.4,56.3,57.8,57.8,57.8,56.7,58.1,58.5,59.7
Kon Tum,33.1,32.5,34.7,34.1,36,35.8,36.3,37.5,36,38,38.6,39.4,38.8,41.5
Gia Lai,42.8,41.2,44,41.6,45.3,44.7,46.6,44.3,43.8,47.6,48.5,50.4,50.9,51.3
Đắk Lắk,48.7,55,56.3,56.1,56.1,56.9,61.2,59.5,58.6,63.4,66.2,67,66.6,67.7
Đắk Nông,45.3,51.9,55.7,52.8,55.8,54.1,58.3,58,58.4,57.4,59.6,60.2,61,62.8
Lâm Đồng,44.6,45.1,42,46.1,49,48.2,49.4,49,48.5,50,52.2,52.2,52.4,54.1
Bình Phước,29,30.7,31.5,32,32.3,33,32.8,33.1,32.3,32.5,35.2,35,37.1,36.2
Tây Ninh,46.3,46.5,47.9,49,50.1,50.7,52.1,52.7,52.6,53.3,54.4,54.1,54.1,54.7
Bình Dương,34,36.3,38.4,39.3,39.5,39.8,41.1,41.3,41.9,42.5,42.2,42.1,42.9,43.8
Đồng Nai,44.4,46.2,46.5,48.9,50.1,50.2,51.7,53,53.7,54.2,54.4,56.2,57.4,58.4
Bà Rịa - Vũng Tàu,35.5,38.6,37.7,40.3,41.4,42.2,44.9,47.3,48.1,49.2,51.9,55.6,53.7,58.1
TP.Hồ Chí Minh,36.5,36.8,37.6,39,41.5,42.2,42.4,43.5,43.7,45.2,46.8,48.3,50.1,50.4
Long An,47.7,46.6,48.9,52.7,53.3,53.4,55.1,55.8,53.1,50.2,54.8,54.8,56.3,57.2
Tiền Giang,53.9,53.1,54.1,55.1,56.8,57.2,59.4,59.8,58.8,59.3,62.3,60.9,58.9,63.4
Bến Tre,45.6,44.7,45.7,47.1,49.5,45.9,47.9,44.3,21.1,41.4,45.7,45,26.9,45.6
Trà Vinh,47.9,46.4,49.7,49.6,55.3,54.1,56.3,56.8,45.4,51.7,56.8,56.1,45.8,55
Vĩnh Long,50.5,51.6,54.6,56.9,58.1,58.5,60.3,60.6,53.2,55.6,59.9,58.4,61.4,60.8
Đồng Tháp,58.1,58.8,60.4,61.9,62.6,61.4,62.4,62,61.6,59.6,64,64.2,65.6,66.2
An Giang,62.2,61.4,62.3,63.5,63.1,62.7,64.3,63.2,59.4,60.5,63,62.6,63,66.3
Kiên Giang,55.6,54.6,54.4,57.1,59.1,58,60.1,60.3,54.3,55.2,58.6,59.4,62.4,63.1
Cần Thơ,54.8,54.5,57.1,57.4,57.8,57.9,58.9,59.2,58.2,57.8,60.1,60.7,62.5,63.6
Hậu Giang,50.3,52,51.7,53.1,55.1,56.2,58.7,62.4,60.9,61,64,64.2,65.3,67.4
Sóc Trăng,54,53.2,56.3,59.9,61.5,59.4,62.3,62.7,59.3,60.5,60.6,61,58.8,62.8
Bạc Liêu,49.3,49.3,51.1,55.3,55.2,56,57.5,58.9,57.6,59,60.3,61,62.4,64.2
Cà Mau,36.3,36.2,39.7,41.5,43,43.6,43.3,36.7,40.3,39.4,45.2,45.5,39.8,45.8
