Tỉnh,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Hà Nội,1177.8,1154.1,1125.1,1220.3,1202.4,1156.5,1175.5,1169.5,1109.6,1051.1,1024.6,969.4,973.5,983.8
Vĩnh Phúc,301.5,323.6,314.3,335.7,299.8,308.4,331.2,326.4,294.5,320.3,330.6,313.2,313,320.9
Bắc Ninh,440.3,444.9,440.1,468,453.4,424.2,439.4,444.8,439.1,414.9,410.4,402.7,404.1,401.2
Quảng Ninh,204.1,203.3,208.6,212.6,216.5,210.4,211.3,211.9,211.8,195.9,208.6,203.4,201.8,199.8
Hải Dương,757.7,773.5,757.9,780.9,782.3,739.8,742.6,740,726.4,657.9,702.5,682.8,681.9,697.5
Hải Phòng,475.9,488.3,485.5,484.4,490.1,490.2,484.7,478.3,465.1,436.7,440.8,413.2,376.1,370.7
Hưng Yên,514.5,511,514.6,528.6,528.6,502.1,489.6,480.5,457.4,418.6,415.4,403.5,369.5,354.4
Thái Bình,1105.2,1105.8,1104.4,1091.3,1059.5,1053.2,1061.9,1061.9,1053.6,942.6,1030.4,1022.3,1013.1,997.6
Hà Nam,416.3,419.1,417.4,424.6,424.5,395.1,401.6,405.6,395.5,366.4,386.3,384.6,376.2,371
Nam Định,929,889.1,952,931.6,933.8,914.6,937.7,935.2,923.9,841.9,891.2,888.2,883.2,879.2
Ninh Bình,467.9,484.1,485.5,487.9,490.4,460.9,484.3,475.4,468.1,437,457.2,450.7,443.1,444.5
Hà Giang,167.3,185.3,194.2,201.8,202.9,206.9,207.9,203.5,210.5,211.4,212.8,213.5,215.5,217.5
Cao Bằng,124.6,118.9,125.8,117.2,123.1,125.6,126.9,129.5,124.8,132.7,132.5,135.9,131.3,133.7
Bắc Kạn,93.8,96.2,93.7,97.9,104.4,107.3,112.1,117.4,118.1,112.3,114.7,117,118.1,117.5
Tuyên Quang,256.6,261.3,261.8,265.9,266.7,266.6,265.4,266.3,264.3,262.9,262.4,259.9,261.4,261.6
Lào Cai,118.4,128.3,126.4,141.7,144.3,146.9,148.4,150.1,158.3,158.8,172.9,177.1,181.1,183.4
Yên Bái,170.2,186.2,186.1,194.8,197.7,198.5,202.4,207.7,214.2,211.5,210,215.5,217.7,218.3
Thái Nguyên,332.6,339.3,339.8,368.3,367.4,363,365.9,381.4,384.7,379.4,386.4,384.7,383.4,384.6
Lạng Sơn,191.8,194.1,198.3,169.9,202.8,208.1,212.9,210.6,218.3,205.9,205.2,203.9,206.9,203.2
Bắc Giang,518.4,571.6,597.8,627.8,629.1,588.6,626.6,619.1,628.5,609.2,599.5,593.6,582.9,580.7
Phú Thọ,331.8,362.8,352.3,376.4,375.5,379.6,376,370.4,373.2,367.9,365.8,345.2,347.7,352.2
Điện Biên,138.4,146.6,155.1,154.8,157.9,161.6,170.6,174.8,175.4,178.1,185.3,187,190.8,200.2
Lai Châu,104.7,111.9,116.7,118.6,119.4,126.2,127.7,132.8,136.4,145.7,143.8,149.8,148.8,152
Sơn La,148.5,152.8,147.1,155.8,162.9,181.3,183.3,177.4,182.9,180,184.3,189,199,206.3
Hoà Bình,206.8,198.3,192.7,208.2,217,205.4,215,195.8,215.9,180.6,207.2,206.4,206.6,215.4
Thanh Hoa,1404.3,1452.7,1396.6,1427.4,1482.5,1431.5,1516.5,1475.3,1493.1,1463.3,1413.5,1399.2,1373.6,1413
Nghệ An,934.3,898.8,828.6,959.9,969.8,930.1,1012.5,978.8,1007.4,1015.1,1009.1,946.1,974.3,1043.2
Hà Tĩnh,466.5,467.8,414.4,470.9,482.3,479,511.4,521.5,530.4,442.8,535.3,506.7,534.1,580.5
Quảng Bình,240.1,243.4,234.7,260.2,262.4,251.9,277.4,275.4,281.4,284.7,284.7,260.9,273.4,293
Quảng Trị,218.3,213,213,224.7,240.6,224.1,258.7,239.4,263.1,243.4,275.5,273.3,276.4,279.3
Thừa Thiên Huế,274.8,282.6,285.2,299.1,299,284.9,317.1,319.3,324.3,327.4,334.4,326.7,320.2,342.5
Đà Nẵng,42.6,42,41.1,34.4,35.3,31.3,33.9,31.6,32.2,31.4,31.9,30.8,30.4,31.9
Quảng Nam,380.6,394.4,412.7,417.9,447.3,440.3,466.9,461.2,441.7,461.1,462.6,452.3,452,462.3
Quảng Ngãi,354.4,370,391.2,380.4,406.8,412.3,422.5,427.5,416.3,438.8,440.2,431.3,418.8,441.6
Bình Định,619,604.3,633.2,649.3,651.8,606.8,649.7,657.8,638.9,666.4,666.5,643.3,617.3,638.1
Phú Yên,294.6,326.8,346.8,344.2,346,363.8,365,378.1,376.2,374.4,392.2,372.9,390.3,390.3
Khánh Hoà,215.2,228.2,231,241.2,246.5,258,261.3,199.8,227.1,254.7,261.1,259.3,191.9,272.4
Ninh Thuận,200.3,213.6,188,223.2,236.8,247.1,267.7,224.5,211.8,276.6,243.3,262.8,200.9,274.3
Bình Thuận,469.9,505.6,535.5,602.3,620.1,638.6,673.4,664.9,598.3,717.8,709.3,689.5,641.3,737.9
Kon Tum,77.4,77.4,77.7,77,83.8,83.7,85.6,91.6,87.1,91.1,91.6,93.4,90.3,96.8
Gia Lai,292.8,288.2,310.1,293.3,332.6,330.5,350.1,333.1,318.9,354.9,362.1,373.2,385,384.7
Đắk Lắk,369.3,421.6,450.7,474.3,490.6,514.1,577.8,555.8,550.2,643.5,697.5,703.8,716.4,756.2
Đắk Nông,52.1,61.2,61.8,64.9,68.6,66.6,73.5,73.1,72.4,74.6,78.7,77,77.5,81.7
